OccurrencePrecinctCode,CollisionID,CollisionKey,RoadwayTypeCode,RoadwayReferenceMarker,Collision_ at_Location,RoadwayName,RoadwayDirection,RoadwayLocationDescription,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
084,2022084000660,248639056,H,278IX2M24080,2,B.Q.E.,WB@,CADMAN PLAZA W,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
084,2022084000604,247771069,B,BRKB01003002,1,BROOKLYN BR,EB@,BKLYN SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
084,2022084000624,248100403,B,BRKB01004002,1,BROOKLYN BR,WB@,BKLYN SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
084,2022084000661,248833933,B,BRKB01004002,2,BROOKLYN BR,WB@,BKLYN SIDE,3,2,0,3,2,0,0,0,2,0,0,0,0,0,1,0
088,2022088000515,248430526,H,278IX2M23094,1,B.Q.E.,EB@,ADELPHI CT,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
088,2022088000480,247650336,H,278IX2M23100,1,B.Q.E.,EB@,FLUSHING AV,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
088,2022088000528,248477610,H,278IX2M23098,1,B.Q.E.,EB@,GRAND AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
088,2022088000484,247685734,H,278IX2M23096,1,B.Q.E.,EB@,WAVERLY AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
088,2022088000514,248133011,H,278IX2M24093,1,B.Q.E.,WB@,CARLTON ST,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
088,2022088000476,247515041,H,278IX2M24100,1,B.Q.E.,WB@,FLUSHING AV,5,2,0,5,2,0,2,0,0,0,0,0,0,0,1,0
088,2022088000469,247994550,H,278IX2M24100,2,B.Q.E.,WB@,FLUSHING AV,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
088,2022088000479,248150894,H,278IX2M24100,3,B.Q.E.,WB@,FLUSHING AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
088,2022088000495,248098668,H,278IX2M24097,1,B.Q.E.,WB@,HALL PL,3,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0
