OccurrencePrecinctCode,CollisionID,CollisionKey,Collision_ at_Intersection,IntersectionAddress,IntersectingStreet,CrossStreet,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
077,2022077000674,248472010,2,LINCOLN PL&&SCHENECTADY AVE,SCHENECTADY AVE,LINCOLN PL,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
077,2022077000613,247497486,1,LINCOLN PL&&TROY AVE,LINCOLN PL,TROY AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000669,248363726,1,LINCOLN PL&&UTICA AVE,LINCOLN PL,UTICA AVE,2,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1
077,2022077000727,248830225,2,LINCOLN PL&&UTICA AVE,UTICA AVE,LINCOLN PL,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000734,248836922,1,LINCOLN PL&&WASHINGTON AVE,LINCOLN PL,WASHINGTON AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000733,248830228,1,NEW YORK AVE&&PARK PL,PARK PL,NEW YORK AVE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
077,2022077000658,248145428,1,NOSTRAND AVE&&PACIFIC ST,NOSTRAND AVE,PACIFIC ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000611,247852956,1,NOSTRAND AVE&&PROSPECT PL,PROSPECT PL,NOSTRAND AVE,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
077,2022077000621,247696545,1,NOSTRAND AVE&&ST JOHNS PL,ST JOHNS PL,NOSTRAND AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000699,248710902,1,NOSTRAND AVE&&ST MARKS AVE,ST MARKS AVE,NOSTRAND AVE,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
077,2022077000671,248363727,1,PACIFIC ST&&TROY AVE,PACIFIC ST,TROY AVE,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
077,2022077000719,248830219,2,PACIFIC ST&&TROY AVE,TROY AVE,PACIFIC ST,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
077,2022077000648,248145426,1,PARK PL&&ROCHESTER AVE,PARK PL,ROCHESTER AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000720,248830220,1,PARK PL&&ROGERS AVE,ROGERS AVE,PARK PL,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
077,2022077000686,248710899,1,PARK PL&&VANDERBILT AVE,VANDERBILT AVE,PARK PL,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
077,2022077000647,248145425,1,PLAZA EAST&&UNDERHILL AVENUE,UNDERHILL AVENUE,PLAZA EAST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000639,247814989,1,PROSPECT PL&&UTICA AVE,UTICA AVE,PROSPECT PL,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
077,2022077000708,249027117,1,PROSPECT PL&&WASHINGTON AVE,WASHINGTON AVE,PROSPECT PL,2,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1
077,2022077000623,247880775,1,RALPH AVE&&ST JOHNS PL,ST JOHNS PL,RALPH AVE,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000693,248486274,1,ROCHESTER AVE&&ST JOHNS PL,ROCHESTER AVE,ST JOHNS PL,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
